target_id,control.1,control.2,control.3,abf2.1,abf2.2,abf2.3,abf3.1,abf3.2,abf3.3
AT5G06530.1,1.12112,1.25324,2.19462,5.23741e-08,1.91781,3.82179,1.9824,6.34378,8.00369
AT5G06530.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G06530.4,0.125605,0.278515,0.0,0.0,1.02932,0.384404,0.0,0.720151,0.543308
AT5G06530.2,8.09714e-09,0.0,0.0,3.19623,0.00886757,0.144975,2.39124,0.000194484,3.66753e-05
AT3G59520.1,10.0583,8.17458,11.9095,7.75602,9.7553,6.32887,7.12312,7.05827,11.1995
AT1G11280.3,0.0,0.0,0.0,0.0,0.405055,0.0,0.0,0.0,0.61508
AT1G11280.4,0.592004,0.0,0.716029,0.0,0.0,0.839319,1.25025,1.04862,0.546433
AT1G11280.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G11280.2,0.0,0.0,0.0,0.524176,0.0,0.0,0.0,0.0,0.0
AT1G11280.5,0.0,0.41649,0.0,0.0,1.16696e-05,0.0,0.0,0.0,0.0
ATMG00910.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G50030.1,0.632224,0.489517,0.458914,0.254589,0.686174,0.123276,0.0,0.142171,0.992575
AT3G20300.1,27.0262,23.5804,30.4218,63.9848,47.2707,55.1876,56.0412,68.3252,76.7961
AT1G31140.2,0.761939,0.0,2.09419,0.0,0.0,0.661828,0.767372,0.0,0.0
AT1G31140.1,0.728532,0.692423,0.0,0.450146,0.808829,0.0,0.0,0.83792,1.17
AT5G07572.1,0.0,0.0,0.0,0.0,0.0,0.0,0.157094,0.0,0.0
AT5G53150.5,0.0,0.614077,0.899614,1.19085,0.484822,0.779211,1.047,0.0,1.01959
AT5G53150.1,2.89909,2.71939,0.0,0.0,3.09546,2.07727,1.55542,1.32608,1.6399
AT5G53150.2,11.5904,9.36547,10.4114,10.1707,12.683,9.43816,9.19597,10.5519,11.0648
AT5G53150.6,0.0,1.77487,0.547322,0.0,0.485726,0.0,3.01457e-09,2.73733,0.79438
AT5G53150.3,0.137091,5.3584e-08,2.25404,0.0,4.57946e-07,0.109583,0.360408,0.844294,1.81398
AT5G53150.4,0.0,0.0,0.0,2.00327,0.00400906,0.0,0.0,0.0,0.0
AT5G20440.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT4G32980.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT4G32980.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G38040.2,7.3749,8.10886,10.1898,16.0409,9.7623,5.5696,8.38281,5.39272,4.40649
AT2G38040.1,13.418,9.34159,9.56906,4.97517,11.4958,14.1079,7.11838,11.1509,13.9216
AT4G29820.1,13.0103,12.3526,14.0109,22.9318,13.4261,14.8885,14.6267,15.5397,19.0865
AT4G24400.2,44.3429,52.0367,46.6946,38.7662,47.7687,47.8631,47.3682,54.8006,36.1944
AT4G24400.1,81.0822,65.9355,54.9653,99.2264,85.4182,70.1947,121.949,103.873,107.921
AT1G68585.1,4.64021,4.22013,3.34147,2.22447,6.39514,3.30318,8.32599,10.1034,6.64901
